이름,식품의 유형,제조원 및 소재지,유통기한,제조일자,내용량,보관 방법,원재료 및 함량,제품문의 관련 주소 및 전화번호,보관방법,생산자,소재지,제조연월일,유통기한 또는 품질유지기한,포장단위별 내용물의 용량(중량),원재료명 및 함량,제품명,식품유형,원재료명,포장재질,품질유지기한,제조 및 판매원,"포장단위별 내용물의 용량(중량), 수량",성분,제조원,원재료,용량,주소,허가번호,제조일,권장기한
콜롬비아 라 레오나 만다린,커피,경기도 파주시 조리읍 고봉로 929 2층,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,오프사이트 0507-1399-2781,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
M1,커피,경기도 화성시 동탄지성로 306번길 68,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,운조커피 010-4535-8819,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
에티오피아 예가체프 할로베리티 G1 워시드,커피,경기도 부천시 소사구 호현로 489,제조일로부터 1년,주문 확인 후 제조,500g,,커피원두 100%,카페소소한사치 010-9340-4364,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
과테말라 스위스 디카페인,커피,"충청남도 논산시 연산면 황룡재로 65, 2층",제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,서가로스터리 01063083067,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
인도네시아 만델링 G1,커피,경기 고양시 일산동구 일산로372번길 30-5 1층,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,조바티커피 070-4203-6900,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
과테말라 웨웨테낭고 SHB 디카페인,커피,"싸인포스트커피, 서울시 동작구 솔밭로 97-6",제조일로부터 6개월,제조일 별도 표기,200g / 1kg,해당없음,볶은 커피 100%,코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
에티오피아 딤투 테로 내츄럴,커피,경기 성남시 분당구 문정로144번길 4,제조일로부터 1년,주문 확인 후 제조,200g / 500g,,커피원두 100%,180커피로스터스 010-4510-8597,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
콜롬비아 라 레세르바 카투라 치로소,커피,경기도 부천시 중동로356번길 6 필리그리커피,제조일로부터 1년,주문 확인 후 제조,200g,,커피원두 100%,필리그리커피 032-672-9127,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
와이칸,커피,"나무사이로, 경기도 성남시 분당구 석운로 33",제조일로부터 1년,별도표기,200g / 1kg,,아라비카 원두 100%,코케 고객센터 070-4647-1868,직사광선을 피하고 서늘하고 건조한 곳,,,,,,,,,,,,,,,,,,,,,
레드 블렌딩 커피,커피,"전라남도 장성군 진원면 나노산단2로 52, 205호",제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,링크 커피 로스터스 010-5035-1425,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
데일리뷰티 블렌드,커피 원두,"(주)수수커피컴퍼니, 서울 강남구 강남대로 154길 24, 준영빌딩 1층 수수커피",제조일로부터 1년,제조일 별도 표기 (제품 뒷면),200g / 1kg,직사광선을 피하고 밀봉하여 건조하고 서늘한 곳에 보관,커피원두 100%,코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
브라질 세라도 디카페인,커피,경기도 화성시 동탄지성로 306번길 68,제조일로부터 1년,주문 확인 후 제조,500g 1kg,,커피원두 100%,운조커피 010-4535-8819,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
케냐 뚱구리 AA 워시드,커피,"경기도 일산동구 성석동 78-2, A동 1층 커넥츠커피 로스팅공장",제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,커넥츠커피 010-5758-1108,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
디카페인 스프링 블렌드,커피,"서울시 강서구 공항대로 164, 411",제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,커스프 커피 010-3267-0430,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
싸우스폴 블렌드,커피,"싸인포스트커피, 서울시 동작구 솔밭로 97-6",제조일로부터 6개월,제조일 별도 표기,200g / 1kg,해당없음,볶은 커피 100%,코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
과테말라 산로렌조 엘쿠로 블랙허니,커피,경기도 부천시 소사구 호현로 489,제조일로부터 1년,주문 확인 후 제조,500g,,커피원두 100%,카페소소한사치 010-9340-4364,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
에티오피아 게이샤 피치 G1,커피,경기 고양시 일산동구 일산로372번길 30-5 1층,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,조바티커피 070-4203-6900,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
파푸아뉴기니 AA 쿠아 블루마운틴 풀리워시드,커피,"서울시 강서구 공항대로 164, 411",제조일로부터 1년,주문 확인 후 제조,500g / 1kg,,커피원두 100%,커스프 커피 070-8098-8025,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
콜롬비아 엘 오브라헤 게이샤 무산소발효 내추럴,커피,경기도 부천시 소사구 호현로 489,제조일로부터 1년,주문 확인 후 제조,200g,,커피원두 100%,카페소소한사치 010-9340-4364,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
에티오피아 예가체프G1 아리차 내추럴,커피,경기도 화성시 동탄지성로 306번길 68,제조일로부터 1년,주문 확인 후 제조,"500g, 1kg",,커피원두 100%,운조커피 010-4535-8819,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
케냐 뚱구리 AA 워시드,커피,"경기도 일산동구 성석동 78-2, A동 1층 커넥츠커피 로스팅공장",제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,커넥츠커피 010-5758-1108,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
에티오피아 워르카 우리 워시드,커피,경기 성남시 분당구 문정로144번길 4,제조일로부터 1년,주문 확인 후 제조,200g / 500g,,커피원두 100%,180커피로스터스 010-4510-8597,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
디카페인 콜롬비아,커피,경기 고양시 일산동구 일산로372번길 30-5 1층,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,조바티커피 070-4203-6900,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
과테말라 엘 소코로 버본,커피,경기 성남시 분당구 문정로144번길 4,제조일로부터 1년,주문 확인 후 제조,200g / 500g,,커피원두 100%,180커피로스터스 010-4510-8597,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
에티오피아 게이샤 피치 G1,커피,경기 고양시 일산동구 일산로372번길 30-5 1층,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,조바티커피 070-4203-6900,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
콜롬비아 수프리모 후일라 산 비센테 라 플라타,커피,"서울시 강서구 공항대로 164, 411",제조일로부터 1년,주문 확인 후 제조,500g / 1kg,,커피원두 100%,커스프 커피 070-8098-8025,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
코스타리카 라 몬타나 데 라 쿰브레 화이트허니,커피,경기도 부천시 소사구 호현로 489,제조일로부터 1년,주문 확인 후 제조,500g,,커피원두 100%,카페소소한사치 010-9340-4364,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
콜롬비아 라 카바나 게이샤 애너러빅 내추럴,커피,경기도 부천시 중동로356번길 6 필리그리커피,제조일로부터 1년,주문 확인 후 제조,200g,,커피원두 100%,필리그리커피 032-672-9127,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
위WE,커피,"나무사이로, 경기도 성남시 분당구 석운로 33",제조일로부터 1년,별도표기,200g / 1kg,직사광선을 피하고 서늘하고 건조한 곳,아라비카 원두 100%,코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
브라질 리마오호사,커피,경기 성남시 분당구 문정로144번길 4,제조일로부터 1년,주문 확인 후 제조,200g / 500g,,커피원두 100%,180커피로스터스 010-4510-8597,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
디카페인 스프링 블렌드,커피,"서울시 강서구 공항대로 164, 411",제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,커스프 커피 010-3267-0430,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
에티오피아 예가체프 할로베리티 G1 워시드,커피,경기도 부천시 소사구 호현로 489,제조일로부터 1년,주문 확인 후 제조,500g,,커피원두 100%,카페소소한사치 010-9340-4364,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
케냐 뚱구리 피베리,커피,경기 성남시 분당구 문정로144번길 4,제조일로부터 1년,주문 확인 후 제조,200g / 500g,,커피원두 100%,180커피로스터스 010-4510-8597,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
M1,커피,경기도 화성시 동탄지성로 306번길 68,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,운조커피 010-4535-8819,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
와이칸 다크,커피,"나무사이로, 경기도 성남시 분당구 석운로 33",제조일로부터 1년,별도표기,200g / 1kg,직사광선을 피하고 서늘하고 건조한 곳,아라비카 원두 100%,코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
인도네시아 만델링 G1 트리플픽,커피,"서울시 강서구 공항대로 164, 411",제조일로부터 1년,주문 확인 후 제조,500g / 1kg,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,커스프 커피 070-8098-8025,,,,,,,,,,,,,,,,,,,,,,
브라질 핀할 카티구아,커피,경기 성남시 분당구 문정로144번길 4,제조일로부터 1년,주문 확인 후 제조,200g / 500g,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,"
180커피로스터스 010-4510-8597",,,,,,,,,,,,,,,,,,,,,,
